sectror_id, lat
0,171
1,171
2,171
3,171
4,171
5,171
6,171
7,171
8,171
9,171
10,171
11,171
12,171
13,171
14,171
15,171
16,171
17,171
18,171
19,171
20,171
21,171
22,171
23,171
24,171
25,171
26,171
27,171
28,171
29,171
30,171
31,171
32,254
33,254
34,254
35,254
36,254
37,254
38,254
39,254
40,254
41,254
42,254
43,254
44,254
45,254
46,254
47,254
48,254
49,254
50,254
51,254
52,254
53,254
54,254
55,254
56,254
57,254
58,254
59,254
60,254
61,254
62,254
63,254
64,441
65,441
66,441
67,441
68,441
69,441
70,441
71,441
72,441
73,441
74,441
75,441
76,441
77,441
78,441
79,441
80,441
81,441
82,441
83,441
84,441
85,441
86,441
87,441
88,441
89,441
90,441
91,441
92,441
93,441
94,441
95,441
96,429
97,429
98,429
99,429
100,429
101,429
102,429
103,429
104,429
105,429
106,429
107,429
108,429
109,429
110,429
111,429
112,429
113,429
114,429
115,429
116,429
117,429
118,429
119,429
120,429
121,429
122,429
123,429
124,429
125,429
126,429
127,429
128,245
129,245
130,245
131,245
132,245
133,245
134,245
135,245
136,245
137,245
138,245
139,245
140,245
141,245
142,245
143,245
144,245
145,245
146,245
147,245
148,245
149,245
150,245
151,245
152,245
153,245
154,245
155,245
156,245
157,245
158,245
159,245
160,242
161,242
162,242
163,242
164,242
165,242
166,242
167,242
168,242
169,242
170,242
171,242
172,242
173,242
174,242
175,242
176,242
177,242
178,242
179,242
180,242
181,242
182,242
183,242
184,242
185,242
186,242
187,242
188,242
189,242
190,242
191,242
192,245
193,245
194,245
195,245
196,245
197,245
198,245
199,245
200,245
201,245
202,245
203,245
204,245
205,245
206,245
207,245
208,245
209,245
210,245
211,245
212,245
213,245
214,245
215,245
216,245
217,245
218,245
219,245
220,245
221,245
222,245
223,245
224,255
225,255
226,255
227,255
228,255
229,255
230,255
231,255
232,255
233,255
234,255
235,255
236,255
237,255
238,255
239,255
240,255
241,255
242,255
243,255
244,255
245,255
246,255
247,255
248,255
249,255
